ZotuID	node.degree	node.betw	node.stress	node.evcent	Clustering.Coefficient	module	z	p	trt	inter_cut	taxon	kingdom	category
Botu1002	1	0	0	7.33E-116	0	39	0	0	terrace4	1	f:Acidobacteriaceae.1002	Bacteria	peripherals
Potu1141	1	0	0	7.33E-116	0	39	0	0	terrace4	1	g:Cochliopodium.1141	Protists	peripherals
Botu157	1	0	0	7.33E-116	0	38	0	0	terrace4	1	o:WD2101.157	Bacteria	peripherals
Fotu1681	1	0	0	7.33E-116	0	38	0	0	terrace4	1	g:Archaeorhizomyces.1681	Fungi	peripherals
Botu317	1	0	0	7.33E-116	0	37	0	0	terrace4	1	o:WD2101.317	Bacteria	peripherals
Botu548	1	0	0	7.33E-116	0	37	0	0	terrace4	1	f:Syntrophobacteraceae.548	Bacteria	peripherals
Botu327	1	0	0	7.33E-116	0	36	0	0	terrace4	1	f:Chthonomonadaceae.327	Bacteria	peripherals
Botu693	1	0	0	7.33E-116	0	36	0	0	terrace4	1	f:Koribacteraceae.693	Bacteria	peripherals
Botu339	1	0	0	7.33E-116	0	35	0	0	terrace4	1	g:A17.339	Bacteria	peripherals
Botu359	1	0	0	7.33E-116	0	35	0	0	terrace4	1	f:[Chthoniobacteraceae].359	Bacteria	peripherals
Botu1261	1	0	0	7.33E-116	0	34	0	0	terrace4	1	f:Isosphaeraceae.1261	Bacteria	peripherals
Potu221	1	0	0	7.33E-116	0	34	0	0	terrace4	1	g:Myrmecia.221	Protists	peripherals
Botu178	1	0	0	7.33E-116	0	33	0	0	terrace4	1	f:Isosphaeraceae.178	Bacteria	peripherals
Fotu1218	1	0	0	7.33E-116	0	33	0	0	terrace4	1	g:Devriesia.1218	Fungi	peripherals
Botu106	1	0	0	7.33E-116	0	32	0	0	terrace4	1	g:Rhodoplanes.106	Bacteria	peripherals
Botu97	1	0	0	7.33E-116	0	32	0	0	terrace4	1	f:Sinobacteraceae.97	Bacteria	peripherals
Botu977	1	0	0	7.33E-116	0	31	0	0	terrace4	1	o:[Pedosphaerales].977	Bacteria	peripherals
Fotu1603	1	0	0	7.33E-116	0	31	0	0	terrace4	1	g:Apiotrichum.1603	Fungi	peripherals
Botu347	1	0	0	7.33E-116	0	30	0	0	terrace4	1	f:Conexibacteraceae.347	Bacteria	peripherals
Botu566	1	0	0	7.33E-116	0	30	0	0	terrace4	1	g:Magnetospirillum.566	Bacteria	peripherals
Botu389	1	0	0	7.33E-116	0	29	0	0	terrace4	1	o:WD2101.389	Bacteria	peripherals
Potu161	1	0	0	7.33E-116	0	29	0	0	terrace4	1	g:Trinematidae_X.161	Protists	peripherals
Potu1212	1	0	0	7.33E-116	0	28	0	0	terrace4	1	g:Platyophrya.1212	Protists	peripherals
Potu276	1	0	0	7.33E-116	0	28	0	0	terrace4	1	f:Trebouxiophyceae_XX.276	Protists	peripherals
Botu517	1	0	0	7.33E-116	0	27	0	0	terrace4	1	g:Candidatus_Solibacter.517	Bacteria	peripherals
Botu568	1	0	0	7.33E-116	0	27	0	0	terrace4	1	g:Chthoniobacter.568	Bacteria	peripherals
Botu543	1	0	0	7.33E-116	0	26	0	0	terrace4	1	o:Elusimicrobiales.543	Bacteria	peripherals
Botu644	1	0	0	7.33E-116	0	26	0	0	terrace4	1	f:Pirellulaceae.644	Bacteria	peripherals
Potu318	1	0	0	7.33E-116	0	25	0	0	terrace4	1	g:Spumella.318	Protists	peripherals
Potu473	1	0	0	7.33E-116	0	25	0	0	terrace4	1	g:Allapsidae_X.473	Protists	peripherals
Fotu254	2	173	2009	0.003794446	0	24	0	0	terrace4	1	g:Aspergillus.254	Fungi	peripherals
Potu571	1	0	0	0.000191158	0	24	0	0	terrace4	1	g:Allapsidae_X.571	Protists	peripherals
Potu1308	1	0	0	0.000299682	0	23	0	0	terrace4	1	g:Allapsidae_X.1308	Protists	peripherals
Potu610	2	173	1765	0.005948627	0	23	0	0	terrace4	1	g:Endostelium.610	Protists	peripherals
Botu663	1	0	0	1.29E-102	0	22	0	0	terrace4	1	o:BD7-3.663	Bacteria	peripherals
Botu806	1	0	0	1.29E-102	0	22	0	0	terrace4	1	f:Isosphaeraceae.806	Bacteria	peripherals
Fotu491	2	1	1	1.29E-102	0	22	0	0	terrace4	1	g:Catenulifera.491	Fungi	peripherals
Botu103	2	1	1	1.29E-102	0	21	0	0	terrace4	1	o:Actinomycetales.103	Bacteria	peripherals
Potu1165	1	0	0	1.29E-102	0	21	0	0	terrace4	1	g:Perkinsida_XXX.1165	Protists	peripherals
