zotu_1	zotu_2	interaction	RMTt	trt	taxa1	taxa2	group1	group2
Botu1	Botu1073	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Rhodospirillaceae.1073	Bacteria	Bacteria
Botu1	Botu112	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Gemmataceae.112	Bacteria	Bacteria
Botu1	Botu114	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Isosphaeraceae.114	Bacteria	Bacteria
Botu1	Botu152	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	o:Actinomycetales.152	Bacteria	Bacteria
Botu1	Botu192	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:auto67_4W.192	Bacteria	Bacteria
Botu1	Botu219	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Acidobacteriaceae.219	Bacteria	Bacteria
Botu1	Botu273	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Rhodospirillaceae.273	Bacteria	Bacteria
Botu1	Botu519	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Isosphaeraceae.519	Bacteria	Bacteria
Botu1	Botu913	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Conexibacteraceae.913	Bacteria	Bacteria
Botu1	Fotu118	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	g:Byssocorticium.118	Bacteria	Fungi
Botu1	Fotu57	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	g:Meliniomyces.57	Bacteria	Fungi
Botu1	Potu1353	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Sandonidae.1353	Bacteria	Protists
Botu1	Potu233	1	0.94	terrace4	g:Candidatus_Xiphinematobacter.1	f:Limnofilidae.233	Bacteria	Protists
Botu10	Botu174	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Gemmataceae.174	Bacteria	Bacteria
Botu10	Botu193	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Isosphaeraceae.193	Bacteria	Bacteria
Botu10	Botu194	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Rhodospirillaceae.194	Bacteria	Bacteria
Botu10	Botu29	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Conexibacteraceae.29	Bacteria	Bacteria
Botu10	Botu519	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Isosphaeraceae.519	Bacteria	Bacteria
Botu10	Botu63	1	0.94	terrace4	f:Acidobacteriaceae.10	f:auto67_4W.63	Bacteria	Bacteria
Botu10	Botu868	1	0.94	terrace4	f:Acidobacteriaceae.10	f:auto67_4W.868	Bacteria	Bacteria
Botu10	Botu970	1	0.94	terrace4	f:Acidobacteriaceae.10	g:Geobacter.970	Bacteria	Bacteria
Botu10	Fotu1142	1	0.94	terrace4	f:Acidobacteriaceae.10	g:Mortierella.1142	Bacteria	Fungi
Botu10	Fotu246	1	0.94	terrace4	f:Acidobacteriaceae.10	f:Herpotrichiellaceae.246	Bacteria	Fungi
Botu10	Potu1191	1	0.94	terrace4	f:Acidobacteriaceae.10	o:Euglenida.1191	Bacteria	Protists
Botu10	Potu425	1	0.94	terrace4	f:Acidobacteriaceae.10	g:Allapsidae_X.425	Bacteria	Protists
Botu10	Potu430	1	0.94	terrace4	f:Acidobacteriaceae.10	g:Allpasidae_Group-Te.430	Bacteria	Protists
Botu100	Botu130	1	0.94	terrace4	g:Mycobacterium.100	o:Actinomycetales.130	Bacteria	Bacteria
Botu100	Botu434	1	0.94	terrace4	g:Mycobacterium.100	f:Conexibacteraceae.434	Bacteria	Bacteria
Botu100	Botu596	1	0.94	terrace4	g:Mycobacterium.100	o:FW68.596	Bacteria	Bacteria
Botu100	Botu845	1	0.94	terrace4	g:Mycobacterium.100	f:auto67_4W.845	Bacteria	Bacteria
Botu100	Botu86	1	0.94	terrace4	g:Mycobacterium.100	f:Isosphaeraceae.86	Bacteria	Bacteria
Botu100	Botu91	1	0.94	terrace4	g:Mycobacterium.100	f:Isosphaeraceae.91	Bacteria	Bacteria
Botu100	Botu970	1	0.94	terrace4	g:Mycobacterium.100	g:Geobacter.970	Bacteria	Bacteria
Botu100	Fotu1107	1	0.94	terrace4	g:Mycobacterium.100	g:Antennariella.1107	Bacteria	Fungi
Botu100	Fotu458	1	0.94	terrace4	g:Mycobacterium.100	o:Helotiales.458	Bacteria	Fungi
Botu100	Potu969	1	0.94	terrace4	g:Mycobacterium.100	g:Acanthamoeba.969	Bacteria	Protists
Botu1002	Potu1141	1	0.94	terrace4	f:Acidobacteriaceae.1002	g:Cochliopodium.1141	Bacteria	Protists
Botu1019	Botu269	1	0.94	terrace4	f:Chthonomonadaceae.1019	g:Candidatus_Solibacter.269	Bacteria	Bacteria
Botu1019	Fotu72	1	0.94	terrace4	f:Chthonomonadaceae.1019	g:Meliniomyces.72	Bacteria	Fungi
Botu1019	Potu1045	1	0.94	terrace4	f:Chthonomonadaceae.1019	c:Bicoecea.1045	Bacteria	Protists
Botu102	Botu1309	1	0.94	terrace4	f:Isosphaeraceae.102	o:Actinomycetales.1309	Bacteria	Bacteria
Botu102	Botu365	1	0.94	terrace4	f:Isosphaeraceae.102	g:Chthoniobacter.365	Bacteria	Bacteria
Botu102	Botu40	1	0.94	terrace4	f:Isosphaeraceae.102	f:Pirellulaceae.40	Bacteria	Bacteria
Botu102	Botu5	1	0.94	terrace4	f:Isosphaeraceae.102	f:Isosphaeraceae.5	Bacteria	Bacteria
Botu102	Botu55	1	0.94	terrace4	f:Isosphaeraceae.102	o:WD2101.55	Bacteria	Bacteria
Botu102	Botu64	1	0.94	terrace4	f:Isosphaeraceae.102	g:Rhodoplanes.64	Bacteria	Bacteria
Botu102	Botu77	1	0.94	terrace4	f:Isosphaeraceae.102	f:Isosphaeraceae.77	Bacteria	Bacteria
Botu102	Fotu1148	1	0.94	terrace4	f:Isosphaeraceae.102	c:Dothideomycetes.1148	Bacteria	Fungi
Botu102	Fotu314	1	0.94	terrace4	f:Isosphaeraceae.102	o:Cantharellales.314	Bacteria	Fungi
Botu102	Fotu530	1	0.94	terrace4	f:Isosphaeraceae.102	g:Leptodontidium.530	Bacteria	Fungi
Botu102	Fotu994	1	0.94	terrace4	f:Isosphaeraceae.102	f:Venturiaceae.994	Bacteria	Fungi
Botu102	Potu1575	1	0.94	terrace4	f:Isosphaeraceae.102	f:Allapsidae.1575	Bacteria	Protists
Botu102	Potu747	1	0.94	terrace4	f:Isosphaeraceae.102	o:Glissomonadida.747	Bacteria	Protists
Botu103	Potu1165	1	0.94	terrace4	o:Actinomycetales.103	g:Perkinsida_XXX.1165	Bacteria	Protists
Botu103	Potu1249	1	0.94	terrace4	o:Actinomycetales.103	g:Cochliopodium.1249	Bacteria	Protists
Botu1036	Botu14	1	0.94	terrace4	f:Acetobacteraceae.1036	c:JG37-AG-4.14	Bacteria	Bacteria
Botu1036	Botu151	1	0.94	terrace4	f:Acetobacteraceae.1036	o:WD2101.151	Bacteria	Bacteria
Botu1036	Botu403	1	0.94	terrace4	f:Acetobacteraceae.1036	f:Acidobacteriaceae.403	Bacteria	Bacteria
Botu1036	Botu498	1	0.94	terrace4	f:Acetobacteraceae.1036	f:Isosphaeraceae.498	Bacteria	Bacteria
Botu1036	Botu671	1	0.94	terrace4	f:Acetobacteraceae.1036	f:Conexibacteraceae.671	Bacteria	Bacteria
Botu1036	Botu68	1	0.94	terrace4	f:Acetobacteraceae.1036	o:WD2101.68	Bacteria	Bacteria
Botu1036	Botu817	1	0.94	terrace4	f:Acetobacteraceae.1036	g:Rhodoplanes.817	Bacteria	Bacteria
Botu1036	Botu834	1	0.94	terrace4	f:Acetobacteraceae.1036	g:Opitutus.834	Bacteria	Bacteria
